Rank,Nome do Filme,Data de Lançamento,País de Origem,Link
112,A Separação,20 de janeiro de 2012 (Brasil),"Irã, França, Austrália",https://www.imdb.com/pt/title/tt1832382/
113,Cidadão Kane,,,https://www.imdb.com/pt/title/tt0033467/
114,Um Corpo que Cai,21 de julho de 1958 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0052357/
115,Duro de Matar,,,https://www.imdb.com/pt/title/tt0095016/
116,O Sol é para Todos,,,https://www.imdb.com/pt/title/tt0056592/
117,Indiana Jones e a Última Cruzada,18 de agosto de 1989 (Brasil),"Estados Unidos da América, Reino Unido, Espanha, Itália, Jordânia",https://www.imdb.com/pt/title/tt0097576/
118,Golpe de Mestre,21 de janeiro de 1974 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0070735/
119,Laranja Mecânica,27 de outubro de 1988 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0066921/
120,Metrópolis,4 de novembro de 1927 (Brasil),Alemanha,https://www.imdb.com/pt/title/tt0017136/
121,I Swear,11 de fevereiro de 1963 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt31514146/
122,1917,23 de janeiro de 2020 (Brasil),"Reino Unido, Estados Unidos da América, Índia, Espanha",https://www.imdb.com/pt/title/tt8579674/
123,Snatch - Porcos e Diamantes,,,https://www.imdb.com/pt/title/tt0208092/
124,O Lobo de Wall Street,24 de janeiro de 2014 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0993846/
125,A Queda! As Últimas Horas de Hitler,6 de maio de 2005 (Brasil),"Alemanha, Áustria, Itália",https://www.imdb.com/pt/title/tt0363163/
126,O Show de Truman: O Show da Vida,30 de outubro de 1998 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0120382/
127,Los Angeles: Cidade Proibida,7 de novembro de 1997 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0119488/
128,Dangal,19 de outubro de 2017 (Brasil),"Índia, Estados Unidos da América",https://www.imdb.com/pt/title/tt5074352/
129,Devoradores de Estrelas,20 de março de 2026 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt12042730/
130,Ilha do Medo,12 de março de 2010 (Brasil),"Canadá, Estados Unidos da América",https://www.imdb.com/pt/title/tt1130884/
131,Ladrões de Bicicletas,24 de novembro de 1948 (Itália),Itália,https://www.imdb.com/pt/title/tt0040522/
132,Green Book: O Guia,24 de janeiro de 2019 (Brasil),"Estados Unidos da América, China, Japão",https://www.imdb.com/pt/title/tt6966692/
133,Oppenheimer,,,https://www.imdb.com/pt/title/tt15398776/
134,Julgamento em Nuremberg,18 de dezembro de 1961 (Suécia),Estados Unidos da América,https://www.imdb.com/pt/title/tt0055031/
135,Batman Begins,,,https://www.imdb.com/pt/title/tt0372784/
136,Jurassic Park: O Parque dos Dinossauros,,,https://www.imdb.com/pt/title/tt0107290/
137,Hamilton,,,https://www.imdb.com/pt/title/tt8503618/
138,Por Uns Dólares a Mais,,,https://www.imdb.com/pt/title/tt0059578/
139,Taxi Driver,,,https://www.imdb.com/pt/title/tt0075314/
140,Quanto Mais Quente Melhor,,,https://www.imdb.com/pt/title/tt0053291/
141,Sangue Negro,,,https://www.imdb.com/pt/title/tt0469494/
142,Ataque dos Titãs: O Último Ataque,,,https://www.imdb.com/pt/title/tt33175825/
143,Meu Pai,,,https://www.imdb.com/pt/title/tt10272386/
144,O Garoto,,,https://www.imdb.com/pt/title/tt0012349/
145,A Malvada,29 de janeiro de 1951 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0042192/
146,O Sexto Sentido,,,https://www.imdb.com/pt/title/tt0167404/
